run,knob,contract_status,contract_effective,expected_cpp_effect,cpp_effect_found,hls_lut,hls_ff,hls_dsp,hls_bram18,hls_uram,hls_latency,logical_status,notes
kr260_baseline_safe_fx16,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,5991,4272,10,7,0,182,applied,pipeline pragma count=10
kr260_baseline_safe_fx16,optimization.parallel.unroll_factor,applied,2,UNROLL pragma generated for unrolled loops,yes,5991,4272,10,7,0,182,applied,unroll pragma count=16
kr260_baseline_safe_fx16,optimization.parallel.partition_factor,applied,2,ARRAY_PARTITION pragma generated for partitioned arrays,yes,5991,4272,10,7,0,182,applied,array partition count=14
kr260_baseline_safe_fx16,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,5991,4272,10,7,0,182,applied,Dense tiling marker should appear for current MLP-style rows.
kr260_baseline_safe_fx16,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,5991,4272,10,7,0,182,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kr260_baseline_safe_fx16,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,5991,4272,10,7,0,182,not_required,Runtime package did not report external weight mode for this row.
kr260_baseline_safe_fx16,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,5991,4272,10,7,0,182,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kr260_baseline_safe_fx16,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,5991,4272,10,7,0,182,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kr260_baseline_safe_fx16,targets.platform.board,applied,'kr260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,5991,4272,10,7,0,182,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_baseline_safe_fx16,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,5991,4272,10,7,0,182,applied,pipeline pragma count=10
